SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
83,Conductivity,µs/cm,April,2018,,CPCB,30.6762491,76.7282489
84,DO,mg/l,April,2018,3.3,CPCB,30.6762491,76.7282489
85,COD,mg/l,April,2018,187.0,CPCB,30.6762491,76.7282489
86,BOD,mg/l,April,2018,63.0,CPCB,30.6762491,76.7282489
87,NO3-N,mg/l,April,2018,,CPCB,30.6762491,76.7282489
88,NH3-N,mg/l,April,2018,25.0,CPCB,30.6762491,76.7282489
89,Phosphate,mg/l,April,2018,,CPCB,30.6762491,76.7282489
90,TSS,mg/l,April,2018,85.0,CPCB,30.6762491,76.7282489
91,TDS,mg/l,April,2018,,CPCB,30.6762491,76.7282489
92,FS,mg/l,April,2018,,CPCB,30.6762491,76.7282489
93,Turbidity,NTU,April,2018,,CPCB,30.6762491,76.7282489
94,TH as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
95,Ca as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
96,Mg as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
97,Sulphate,mg/l,April,2018,,CPCB,30.6762491,76.7282489
98,Chloride,mg/l,April,2018,,CPCB,30.6762491,76.7282489
99,Total alkalinity as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
100,P-Alkalinity,mg/l,April,2018,,CPCB,30.6762491,76.7282489
101,Fluoride,mg/l,April,2018,,CPCB,30.6762491,76.7282489
102,Colour,Hazen,April,2018,,CPCB,30.6762491,76.7282489
103,Boron(B),mg/l,April,2018,,CPCB,30.6762491,76.7282489
104,TKN,mg/l,April,2018,,CPCB,30.6762491,76.7282489
105,Potassium,mg/l,April,2018,,CPCB,30.6762491,76.7282489
106,Sodium,mg/l,April,2018,,CPCB,30.6762491,76.7282489
107,Total Coliform,MPN/100ml,April,2018,9600.0,CPCB,30.6762491,76.7282489
108,Faecal Coliform,MPN/100ml,April,2018,5400.0,CPCB,30.6762491,76.7282489
109,pH,-,May,2018,7.0,CPCB,30.6762491,76.7282489
110,Conductivity,µs/cm,May,2018,,CPCB,30.6762491,76.7282489
111,DO,mg/l,May,2018,2.9,CPCB,30.6762491,76.7282489
112,COD,mg/l,May,2018,130.0,CPCB,30.6762491,76.7282489
113,BOD,mg/l,May,2018,58.0,CPCB,30.6762491,76.7282489
114,NO3-N,mg/l,May,2018,,CPCB,30.6762491,76.7282489
115,NH3-N,mg/l,May,2018,32.0,CPCB,30.6762491,76.7282489
116,Phosphate,mg/l,May,2018,,CPCB,30.6762491,76.7282489
117,TSS,mg/l,May,2018,65.0,CPCB,30.6762491,76.7282489
118,TDS,mg/l,May,2018,,CPCB,30.6762491,76.7282489
119,FS,mg/l,May,2018,,CPCB,30.6762491,76.7282489
120,Turbidity,NTU,May,2018,,CPCB,30.6762491,76.7282489
121,TH as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
122,Ca as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
123,Mg as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
124,Sulphate,mg/l,May,2018,,CPCB,30.6762491,76.7282489
125,Chloride,mg/l,May,2018,,CPCB,30.6762491,76.7282489
126,Total alkalinity as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
127,P-Alkalinity,mg/l,May,2018,,CPCB,30.6762491,76.7282489
128,Fluoride,mg/l,May,2018,,CPCB,30.6762491,76.7282489
129,Colour,Hazen,May,2018,,CPCB,30.6762491,76.7282489
130,Boron(B),mg/l,May,2018,,CPCB,30.6762491,76.7282489
131,TKN,mg/l,May,2018,,CPCB,30.6762491,76.7282489
132,Potassium,mg/l,May,2018,,CPCB,30.6762491,76.7282489
133,Sodium,mg/l,May,2018,,CPCB,30.6762491,76.7282489
134,Total Coliform,MPN/100ml,May,2018,1.7E+5,CPCB,30.6762491,76.7282489
135,Faecal Coliform,MPN/100ml,May,2018,6.1E+4,CPCB,30.6762491,76.7282489
136,pH,-,June,2018,6.9,CPCB,30.6762491,76.7282489
137,Conductivity,µs/cm,June,2018,,CPCB,30.6762491,76.7282489
138,DO,mg/l,June,2018,1.9,CPCB,30.6762491,76.7282489
139,COD,mg/l,June,2018,128.0,CPCB,30.6762491,76.7282489
140,BOD,mg/l,June,2018,49.0,CPCB,30.6762491,76.7282489
141,NO3-N,mg/l,June,2018,,CPCB,30.6762491,76.7282489
142,NH3-N,mg/l,June,2018,23.0,CPCB,30.6762491,76.7282489
143,Phosphate,mg/l,June,2018,,CPCB,30.6762491,76.7282489
144,TSS,mg/l,June,2018,56.0,CPCB,30.6762491,76.7282489
145,TDS,mg/l,June,2018,,CPCB,30.6762491,76.7282489
146,FS,mg/l,June,2018,,CPCB,30.6762491,76.7282489
147,Turbidity,NTU,June,2018,,CPCB,30.6762491,76.7282489
148,TH as CaCO3,mg/l,June,2018,,CPCB,30.6762491,76.7282489
149,Ca as CaCO3,mg/l,June,2018,,CPCB,30.6762491,76.7282489
150,Mg as CaCO3,mg/l,June,2018,,CPCB,30.6762491,76.7282489
151,Sulphate,mg/l,June,2018,,CPCB,30.6762491,76.7282489
152,Chloride,mg/l,June,2018,,CPCB,30.6762491,76.7282489
153,Total alkalinity as CaCO3,mg/l,June,2018,,CPCB,30.6762491,76.7282489
154,P-Alkalinity,mg/l,June,2018,,CPCB,30.6762491,76.7282489
155,Fluoride,mg/l,June,2018,,CPCB,30.6762491,76.7282489
156,Colour,Hazen,June,2018,,CPCB,30.6762491,76.7282489
157,Boron(B),mg/l,June,2018,,CPCB,30.6762491,76.7282489
158,TKN,mg/l,June,2018,,CPCB,30.6762491,76.7282489
159,Potassium,mg/l,June,2018,,CPCB,30.6762491,76.7282489
160,Sodium,mg/l,June,2018,,CPCB,30.6762491,76.7282489
161,Total Coliform,MPN/100ml,June,2018,2.7E+5,CPCB,30.6762491,76.7282489
162,Faecal Coliform,MPN/100ml,June,2018,6.9E+4,CPCB,30.6762491,76.7282489
163,pH,-,July,2018,6.9,CPCB,30.6762491,76.7282489
164,Conductivity,µs/cm,July,2018,,CPCB,30.6762491,76.7282489
165,DO,mg/l,July,2018,3.2,CPCB,30.6762491,76.7282489
166,COD,mg/l,July,2018,95.0,CPCB,30.6762491,76.7282489
167,BOD,mg/l,July,2018,41.0,CPCB,30.6762491,76.7282489
168,NO3-N,mg/l,July,2018,,CPCB,30.6762491,76.7282489
169,NH3-N,mg/l,July,2018,30.0,CPCB,30.6762491,76.7282489
170,Phosphate,mg/l,July,2018,,CPCB,30.6762491,76.7282489
171,TSS,mg/l,July,2018,43.0,CPCB,30.6762491,76.7282489
172,TDS,mg/l,July,2018,,CPCB,30.6762491,76.7282489
173,FS,mg/l,July,2018,,CPCB,30.6762491,76.7282489
174,Turbidity,NTU,July,2018,,CPCB,30.6762491,76.7282489
175,TH as CaCO3,mg/l,July,2018,,CPCB,30.6762491,76.7282489
176,Ca as CaCO3,mg/l,July,2018,,CPCB,30.6762491,76.7282489
177,Mg as CaCO3,mg/l,July,2018,,CPCB,30.6762491,76.7282489
178,Sulphate,mg/l,July,2018,,CPCB,30.6762491,76.7282489
179,Chloride,mg/l,July,2018,,CPCB,30.6762491,76.7282489
180,Total alkalinity as CaCO3,mg/l,July,2018,,CPCB,30.6762491,76.7282489
181,P-Alkalinity,mg/l,July,2018,,CPCB,30.6762491,76.7282489
182,Fluoride,mg/l,July,2018,,CPCB,30.6762491,76.7282489
183,Colour,Hazen,July,2018,,CPCB,30.6762491,76.7282489
184,Boron(B),mg/l,July,2018,,CPCB,30.6762491,76.7282489
185,TKN,mg/l,July,2018,,CPCB,30.6762491,76.7282489
186,Potassium,mg/l,July,2018,,CPCB,30.6762491,76.7282489
187,Sodium,mg/l,July,2018,,CPCB,30.6762491,76.7282489
188,Total Coliform,MPN/100ml,July,2018,1.7E+5,CPCB,30.6762491,76.7282489
189,Faecal Coliform,MPN/100ml,July,2018,1.4E+5,CPCB,30.6762491,76.7282489
190,pH,-,Aug,2018,7.1,CPCB,30.6762491,76.7282489
191,Conductivity,µs/cm,Aug,2018,,CPCB,30.6762491,76.7282489
192,DO,mg/l,Aug,2018,4.9,CPCB,30.6762491,76.7282489
193,COD,mg/l,Aug,2018,71.0,CPCB,30.6762491,76.7282489
194,BOD,mg/l,Aug,2018,21.0,CPCB,30.6762491,76.7282489
195,NO3-N,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
196,NH3-N,mg/l,Aug,2018,21.0,CPCB,30.6762491,76.7282489
197,Phosphate,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
198,TSS,mg/l,Aug,2018,19.0,CPCB,30.6762491,76.7282489
199,TDS,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
200,FS,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
201,Turbidity,NTU,Aug,2018,,CPCB,30.6762491,76.7282489
202,TH as CaCO3,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
203,Ca as CaCO3,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
204,Mg as CaCO3,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
205,Sulphate,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
206,Chloride,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
207,Total alkalinity as CaCO3,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
208,P-Alkalinity,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
209,Fluoride,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
210,Colour,Hazen,Aug,2018,,CPCB,30.6762491,76.7282489
211,Boron(B),mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
212,TKN,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
213,Potassium,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
214,Sodium,mg/l,Aug,2018,,CPCB,30.6762491,76.7282489
215,Total Coliform,MPN/100ml,Aug,2018,7.6E+4,CPCB,30.6762491,76.7282489
216,Faecal Coliform,MPN/100ml,Aug,2018,5.4E+4,CPCB,30.6762491,76.7282489
217,pH,-,Sept,2018,7.3,CPCB,30.6762491,76.7282489
218,Conductivity,µs/cm,Sept,2018,,CPCB,30.6762491,76.7282489
219,DO,mg/l,Sept,2018,4.5,CPCB,30.6762491,76.7282489
220,COD,mg/l,Sept,2018,61.0,CPCB,30.6762491,76.7282489
221,BOD,mg/l,Sept,2018,28.0,CPCB,30.6762491,76.7282489
222,NO3-N,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
223,NH3-N,mg/l,Sept,2018,28.0,CPCB,30.6762491,76.7282489
224,Phosphate,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
225,TSS,mg/l,Sept,2018,46.0,CPCB,30.6762491,76.7282489
226,TDS,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
227,FS,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
228,Turbidity,NTU,Sept,2018,,CPCB,30.6762491,76.7282489
229,TH as CaCO3,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
230,Ca as CaCO3,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
231,Mg as CaCO3,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
232,Sulphate,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
233,Chloride,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
234,Total alkalinity as CaCO3,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
235,P-Alkalinity,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
236,Fluoride,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
237,Colour,Hazen,Sept,2018,,CPCB,30.6762491,76.7282489
238,Boron(B),mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
239,TKN,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
240,Potassium,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
241,Sodium,mg/l,Sept,2018,,CPCB,30.6762491,76.7282489
242,Total Coliform,MPN/100ml,Sept,2018,9.3E+5,CPCB,30.6762491,76.7282489
243,Faecal Coliform,MPN/100ml,Sept,2018,6.9E+5,CPCB,30.6762491,76.7282489
244,pH,-,Oct,2018,7.4,CPCB,30.6762491,76.7282489
245,Conductivity,µs/cm,Oct,2018,,CPCB,30.6762491,76.7282489
246,DO,mg/l,Oct,2018,4.2,CPCB,30.6762491,76.7282489
247,COD,mg/l,Oct,2018,56.0,CPCB,30.6762491,76.7282489
248,BOD,mg/l,Oct,2018,28.0,CPCB,30.6762491,76.7282489
249,NO3-N,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
250,NH3-N,mg/l,Oct,2018,37.0,CPCB,30.6762491,76.7282489
251,Phosphate,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
252,TSS,mg/l,Oct,2018,30.0,CPCB,30.6762491,76.7282489
253,TDS,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
254,FS,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
255,Turbidity,NTU,Oct,2018,,CPCB,30.6762491,76.7282489
256,TH as CaCO3,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
257,Ca as CaCO3,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
258,Mg as CaCO3,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
259,Sulphate,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
260,Chloride,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
261,Total alkalinity as CaCO3,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
262,P-Alkalinity,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
263,Fluoride,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
264,Colour,Hazen,Oct,2018,,CPCB,30.6762491,76.7282489
265,Boron(B),mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
266,TKN,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
267,Potassium,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
268,Sodium,mg/l,Oct,2018,,CPCB,30.6762491,76.7282489
269,Total Coliform,MPN/100ml,Oct,2018,8E+6,CPCB,30.6762491,76.7282489
270,Faecal Coliform,MPN/100ml,Oct,2018,4.5E+6,CPCB,30.6762491,76.7282489
271,pH,-,Nov,2018,7.2,CPCB,30.6762491,76.7282489
272,Conductivity,µs/cm,Nov,2018,,CPCB,30.6762491,76.7282489
273,DO,mg/l,Nov,2018,2.6,CPCB,30.6762491,76.7282489
274,COD,mg/l,Nov,2018,126.0,CPCB,30.6762491,76.7282489
275,BOD,mg/l,Nov,2018,51.0,CPCB,30.6762491,76.7282489
276,NO3-N,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
277,NH3-N,mg/l,Nov,2018,41.0,CPCB,30.6762491,76.7282489
278,Phosphate,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
279,TSS,mg/l,Nov,2018,45.0,CPCB,30.6762491,76.7282489
280,TDS,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
281,FS,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
282,Turbidity,NTU,Nov,2018,,CPCB,30.6762491,76.7282489
283,TH as CaCO3,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
284,Ca as CaCO3,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
285,Mg as CaCO3,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
286,Sulphate,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
287,Chloride,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
288,Total alkalinity as CaCO3,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
289,P-Alkalinity,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
290,Fluoride,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
291,Colour,Hazen,Nov,2018,,CPCB,30.6762491,76.7282489
292,Boron(B),mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
293,TKN,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
294,Potassium,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
295,Sodium,mg/l,Nov,2018,,CPCB,30.6762491,76.7282489
296,Total Coliform,MPN/100ml,Nov,2018,1.8E+6,CPCB,30.6762491,76.7282489
297,Faecal Coliform,MPN/100ml,Nov,2018,1.4E+5,CPCB,30.6762491,76.7282489
298,pH,-,Dec,2018,7.1,CPCB,30.6762491,76.7282489
299,Conductivity,µs/cm,Dec,2018,,CPCB,30.6762491,76.7282489
300,DO,mg/l,Dec,2018,1.2,CPCB,30.6762491,76.7282489
301,COD,mg/l,Dec,2018,135.0,CPCB,30.6762491,76.7282489
302,BOD,mg/l,Dec,2018,58.0,CPCB,30.6762491,76.7282489
303,NO3-N,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
304,NH3-N,mg/l,Dec,2018,34.0,CPCB,30.6762491,76.7282489
305,Phosphate,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
306,TSS,mg/l,Dec,2018,39.0,CPCB,30.6762491,76.7282489
307,TDS,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
308,FS,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
309,Turbidity,NTU,Dec,2018,,CPCB,30.6762491,76.7282489
310,TH as CaCO3,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
311,Ca as CaCO3,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
312,Mg as CaCO3,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
313,Sulphate,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
314,Chloride,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
315,Total alkalinity as CaCO3,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
316,P-Alkalinity,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
317,Fluoride,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
