SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
83,Conductivity,µs/cm,April,2018,,CPCB,30.6921376,76.7361159
84,DO,mg/l,April,2018,6.2,CPCB,30.6921376,76.7361159
85,COD,mg/l,April,2018,33.0,CPCB,30.6921376,76.7361159
86,BOD,mg/l,April,2018,9.0,CPCB,30.6921376,76.7361159
87,NO3-N,mg/l,April,2018,,CPCB,30.6921376,76.7361159
88,NH3-N,mg/l,April,2018,3.0,CPCB,30.6921376,76.7361159
89,Phosphate,mg/l,April,2018,,CPCB,30.6921376,76.7361159
90,TSS,mg/l,April,2018,28.0,CPCB,30.6921376,76.7361159
91,TDS,mg/l,April,2018,,CPCB,30.6921376,76.7361159
92,FS,mg/l,April,2018,,CPCB,30.6921376,76.7361159
93,Turbidity,NTU,April,2018,,CPCB,30.6921376,76.7361159
94,TH as CaCO3,mg/l,April,2018,,CPCB,30.6921376,76.7361159
95,Ca as CaCO3,mg/l,April,2018,,CPCB,30.6921376,76.7361159
96,Mg as CaCO3,mg/l,April,2018,,CPCB,30.6921376,76.7361159
97,Sulphate,mg/l,April,2018,,CPCB,30.6921376,76.7361159
98,Chloride,mg/l,April,2018,,CPCB,30.6921376,76.7361159
99,Total alkalinity as CaCO3,mg/l,April,2018,,CPCB,30.6921376,76.7361159
100,P-Alkalinity,mg/l,April,2018,,CPCB,30.6921376,76.7361159
101,Fluoride,mg/l,April,2018,,CPCB,30.6921376,76.7361159
102,Colour,Hazen,April,2018,,CPCB,30.6921376,76.7361159
103,Boron(B),mg/l,April,2018,,CPCB,30.6921376,76.7361159
104,TKN,mg/l,April,2018,,CPCB,30.6921376,76.7361159
105,Potassium,mg/l,April,2018,,CPCB,30.6921376,76.7361159
106,Sodium,mg/l,April,2018,,CPCB,30.6921376,76.7361159
107,Total Coliform,MPN/100ml,April,2018,3000.0,CPCB,30.6921376,76.7361159
108,Faecal Coliform,MPN/100ml,April,2018,2200.0,CPCB,30.6921376,76.7361159
109,pH,-,May,2018,7.2,CPCB,30.6921376,76.7361159
110,Conductivity,µs/cm,May,2018,,CPCB,30.6921376,76.7361159
111,DO,mg/l,May,2018,5.9,CPCB,30.6921376,76.7361159
112,COD,mg/l,May,2018,27.0,CPCB,30.6921376,76.7361159
113,BOD,mg/l,May,2018,7.0,CPCB,30.6921376,76.7361159
114,NO3-N,mg/l,May,2018,,CPCB,30.6921376,76.7361159
115,NH3-N,mg/l,May,2018,7.0,CPCB,30.6921376,76.7361159
116,Phosphate,mg/l,May,2018,,CPCB,30.6921376,76.7361159
117,TSS,mg/l,May,2018,10.0,CPCB,30.6921376,76.7361159
118,TDS,mg/l,May,2018,,CPCB,30.6921376,76.7361159
119,FS,mg/l,May,2018,,CPCB,30.6921376,76.7361159
120,Turbidity,NTU,May,2018,,CPCB,30.6921376,76.7361159
121,TH as CaCO3,mg/l,May,2018,,CPCB,30.6921376,76.7361159
