SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
2,Temperature (Max),Â°C,,2020,29,CPCB 2020 Exit Point,30.742291,76.767246
4,DO (Max),mg/l,,2020,0.6,CPCB 2020 Exit Point,30.742291,76.767246
6,pH (Max),-,,2020,7.5,CPCB 2020 Exit Point,30.742291,76.767246
8,Conductivity (Max),Âµs/cm,,2020,667,CPCB 2020 Exit Point,30.742291,76.767246
10,BOD (Max),mg/l,,2020,210,CPCB 2020 Exit Point,30.742291,76.767246
12,NO3-N (Max),mg/l,,2020,4.2,CPCB 2020 Exit Point,30.742291,76.767246
14,Faecal Coliform (Max),MPN/100ml,,2020,3.20E+06,CPCB 2020 Exit Point,30.742291,76.767246
16,Total Coliform (Max),MPN/100ml,,2020,1.75E+07,CPCB 2020 Exit Point,30.742291,76.767246
