SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
298,pH,-,Dec,7.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
299,Conductivity,µs/cm,Dec,696,CPCB 2018,2018,Sector 83,30.658143,76.724407
300,DO,mg/l,Dec,,CPCB 2018,2018,Sector 83,30.658143,76.724407
301,COD,mg/l,Dec,228,CPCB 2018,2018,Sector 83,30.658143,76.724407
302,BOD,mg/l,Dec,69,CPCB 2018,2018,Sector 83,30.658143,76.724407
303,NO3-N,mg/l,Dec,6.3,CPCB 2018,2018,Sector 83,30.658143,76.724407
304,NH3-N,mg/l,Dec,29,CPCB 2018,2018,Sector 83,30.658143,76.724407
305,Phosphate,mg/l,Dec,3.3,CPCB 2018,2018,Sector 83,30.658143,76.724407
306,TSS,mg/l,Dec,113,CPCB 2018,2018,Sector 83,30.658143,76.724407
307,TDS,mg/l,Dec,318,CPCB 2018,2018,Sector 83,30.658143,76.724407
308,FS,mg/l,Dec,324,CPCB 2018,2018,Sector 83,30.658143,76.724407
309,Turbidity,NTU,Dec,112,CPCB 2018,2018,Sector 83,30.658143,76.724407
310,TH as CaCO3,mg/l,Dec,220,CPCB 2018,2018,Sector 83,30.658143,76.724407
311,Ca as CaCO3,mg/l,Dec,140,CPCB 2018,2018,Sector 83,30.658143,76.724407
312,Mg as CaCO3,mg/l,Dec,80,CPCB 2018,2018,Sector 83,30.658143,76.724407
313,Sulphate,mg/l,Dec,66,CPCB 2018,2018,Sector 83,30.658143,76.724407
314,Chloride,mg/l,Dec,40,CPCB 2018,2018,Sector 83,30.658143,76.724407
315,Total alkalinity as CaCO3,mg/l,Dec,282,CPCB 2018,2018,Sector 83,30.658143,76.724407
316,P-Alkalinity,mg/l,Dec,,CPCB 2018,2018,Sector 83,30.658143,76.724407
317,Fluoride,mg/l,Dec,0.12,CPCB 2018,2018,Sector 83,30.658143,76.724407
318,Colour,Hazen,Dec,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
319,Boron(B),mg/l,Dec,,CPCB 2018,2018,Sector 83,30.658143,76.724407
320,TKN,mg/l,Dec,10.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
321,Potassium,mg/l,Dec,2,CPCB 2018,2018,Sector 83,30.658143,76.724407
322,Sodium,mg/l,Dec,39,CPCB 2018,2018,Sector 83,30.658143,76.724407
323,Total Coliform,MPN/100ml,Dec,,CPCB 2018,2018,Sector 83,30.658143,76.724407
324,Faecal Coliform,MPN/100ml,Dec,,CPCB 2018,2018,Sector 83,30.658143,76.724407
325,pH,,,7.6,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
326,COD,mg/l,,111,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
327,BOD,mg/l,,31,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
328,TSS,mg/l,,49,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
329,TDS,mg/l,,484,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
330,Conductivity,mg/l,,920,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
331,Chloride,mg/l,,29,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
332,Phosphate-P,mg/l,,2,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
333,NO2-N,mg/l,,0,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
334,NO3-N,mg/l,,0.5,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
335,NH3-N,mg/l,,13,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
336,SO4,mg/l,,47,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
337,Colour,CU,,0,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
338,TKN,mg/l,,16,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
339,T-Coliform,MPN/100 ml,,79x10^5,Green tribunal,2024,NCM03 - Sector 83,30.658143,76.724407
