SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
69,Mg as CaCO3,mg/l,March,110,CPCB 2018,2018,Sector 83,30.658143,76.724407
70,Sulphate,mg/l,March,49,CPCB 2018,2018,Sector 83,30.658143,76.724407
71,Chloride,mg/l,March,50,CPCB 2018,2018,Sector 83,30.658143,76.724407
72,Total alkalinity as CaCO3,mg/l,March,252,CPCB 2018,2018,Sector 83,30.658143,76.724407
73,P-Alkalinity,mg/l,March,,CPCB 2018,2018,Sector 83,30.658143,76.724407
74,Fluoride,mg/l,March,,CPCB 2018,2018,Sector 83,30.658143,76.724407
75,Colour,Hazen,March,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
76,Boron(B),mg/l,March,0.15,CPCB 2018,2018,Sector 83,30.658143,76.724407
77,TKN,mg/l,March,4.2,CPCB 2018,2018,Sector 83,30.658143,76.724407
78,Potassium,mg/l,March,11,CPCB 2018,2018,Sector 83,30.658143,76.724407
79,Sodium,mg/l,March,37,CPCB 2018,2018,Sector 83,30.658143,76.724407
80,Total Coliform,MPN/100ml,March,,CPCB 2018,2018,Sector 83,30.658143,76.724407
81,Faecal Coliform,MPN/100ml,March,,CPCB 2018,2018,Sector 83,30.658143,76.724407
82,pH,-,April,7.3,CPCB 2018,2018,Sector 83,30.658143,76.724407
83,Conductivity,µs/cm,April,663,CPCB 2018,2018,Sector 83,30.658143,76.724407
84,DO,mg/l,April,0.7,CPCB 2018,2018,Sector 83,30.658143,76.724407
85,COD,mg/l,April,176,CPCB 2018,2018,Sector 83,30.658143,76.724407
86,BOD,mg/l,April,80,CPCB 2018,2018,Sector 83,30.658143,76.724407
87,NO3-N,mg/l,April,2.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
88,NH3-N,mg/l,April,17,CPCB 2018,2018,Sector 83,30.658143,76.724407
89,Phosphate,mg/l,April,2.36,CPCB 2018,2018,Sector 83,30.658143,76.724407
90,TSS,mg/l,April,81,CPCB 2018,2018,Sector 83,30.658143,76.724407
91,TDS,mg/l,April,394,CPCB 2018,2018,Sector 83,30.658143,76.724407
92,FS,mg/l,April,273,CPCB 2018,2018,Sector 83,30.658143,76.724407
93,Turbidity,NTU,April,125,CPCB 2018,2018,Sector 83,30.658143,76.724407
94,TH as CaCO3,mg/l,April,212,CPCB 2018,2018,Sector 83,30.658143,76.724407
95,Ca as CaCO3,mg/l,April,120,CPCB 2018,2018,Sector 83,30.658143,76.724407
96,Mg as CaCO3,mg/l,April,92,CPCB 2018,2018,Sector 83,30.658143,76.724407
97,Sulphate,mg/l,April,52,CPCB 2018,2018,Sector 83,30.658143,76.724407
98,Chloride,mg/l,April,45,CPCB 2018,2018,Sector 83,30.658143,76.724407
99,Total alkalinity as CaCO3,mg/l,April,258,CPCB 2018,2018,Sector 83,30.658143,76.724407
100,P-Alkalinity,mg/l,April,,CPCB 2018,2018,Sector 83,30.658143,76.724407
101,Fluoride,mg/l,April,,CPCB 2018,2018,Sector 83,30.658143,76.724407
102,Colour,Hazen,April,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
103,Boron(B),mg/l,April,0.14,CPCB 2018,2018,Sector 83,30.658143,76.724407
104,TKN,mg/l,April,4.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
105,Potassium,mg/l,April,8,CPCB 2018,2018,Sector 83,30.658143,76.724407
106,Sodium,mg/l,April,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
107,Total Coliform,MPN/100ml,April,,CPCB 2018,2018,Sector 83,30.658143,76.724407
108,Faecal Coliform,MPN/100ml,April,,CPCB 2018,2018,Sector 83,30.658143,76.724407
109,pH,-,May,7.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
110,Conductivity,µs/cm,May,643,CPCB 2018,2018,Sector 83,30.658143,76.724407
111,DO,mg/l,May,,CPCB 2018,2018,Sector 83,30.658143,76.724407
112,COD,mg/l,May,168,CPCB 2018,2018,Sector 83,30.658143,76.724407
113,BOD,mg/l,May,73,CPCB 2018,2018,Sector 83,30.658143,76.724407
114,NO3-N,mg/l,May,2,CPCB 2018,2018,Sector 83,30.658143,76.724407
115,NH3-N,mg/l,May,24,CPCB 2018,2018,Sector 83,30.658143,76.724407
116,Phosphate,mg/l,May,2.51,CPCB 2018,2018,Sector 83,30.658143,76.724407
