SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
219,DO,mg/l,Sept,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
220,COD,mg/l,Sept,2018,114.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
221,BOD,mg/l,Sept,2018,82.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
222,NO3-N,mg/l,Sept,2018,1.2,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
223,NH3-N,mg/l,Sept,2018,19.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
224,Phosphate,mg/l,Sept,2018,1.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
225,TSS,mg/l,Sept,2018,37.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
226,TDS,mg/l,Sept,2018,390.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
227,FS,mg/l,Sept,2018,317.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
228,Turbidity,NTU,Sept,2018,96.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
229,TH as CaCO3,mg/l,Sept,2018,242.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
230,Ca as CaCO3,mg/l,Sept,2018,138.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
231,Mg as CaCO3,mg/l,Sept,2018,104.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
232,Sulphate,mg/l,Sept,2018,63.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
233,Chloride,mg/l,Sept,2018,42.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
234,Total alkalinity as CaCO3,mg/l,Sept,2018,264.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
235,P-Alkalinity,mg/l,Sept,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
236,Fluoride,mg/l,Sept,2018,0.13,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
237,Colour,Hazen,Sept,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
238,Boron(B),mg/l,Sept,2018,0.08,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
239,TKN,mg/l,Sept,2018,5.3,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
240,Potassium,mg/l,Sept,2018,11.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
241,Sodium,mg/l,Sept,2018,47.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
242,Total Coliform,MPN/100ml,Sept,2018,2.7E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
243,Faecal Coliform,MPN/100ml,Sept,2018,8.6E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
244,pH,-,Oct,2018,7.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
245,Conductivity,µs/cm,Oct,2018,584.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
246,DO,mg/l,Oct,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
247,COD,mg/l,Oct,2018,160.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
248,BOD,mg/l,Oct,2018,79.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
249,NO3-N,mg/l,Oct,2018,1.5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
250,NH3-N,mg/l,Oct,2018,23.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
251,Phosphate,mg/l,Oct,2018,2.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
252,TSS,mg/l,Oct,2018,100.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
253,TDS,mg/l,Oct,2018,384.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
254,FS,mg/l,Oct,2018,280.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
255,Turbidity,NTU,Oct,2018,112.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
256,TH as CaCO3,mg/l,Oct,2018,220.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
257,Ca as CaCO3,mg/l,Oct,2018,128.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
258,Mg as CaCO3,mg/l,Oct,2018,92.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
259,Sulphate,mg/l,Oct,2018,68.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
260,Chloride,mg/l,Oct,2018,40.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
261,Total alkalinity as CaCO3,mg/l,Oct,2018,234.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
262,P-Alkalinity,mg/l,Oct,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
263,Fluoride,mg/l,Oct,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
264,Colour,Hazen,Oct,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
265,Boron(B),mg/l,Oct,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
266,TKN,mg/l,Oct,2018,4.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
267,Potassium,mg/l,Oct,2018,12.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
268,Sodium,mg/l,Oct,2018,28.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
269,Total Coliform,MPN/100ml,Oct,2018,2.7E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
270,Faecal Coliform,MPN/100ml,Oct,2018,8E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
271,pH,-,Nov,2018,7.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
272,Conductivity,µs/cm,Nov,2018,611.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
273,DO,mg/l,Nov,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
274,COD,mg/l,Nov,2018,204.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
275,BOD,mg/l,Nov,2018,65.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
276,NO3-N,mg/l,Nov,2018,2.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
277,NH3-N,mg/l,Nov,2018,23.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
278,Phosphate,mg/l,Nov,2018,2.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
279,TSS,mg/l,Nov,2018,120.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
280,TDS,mg/l,Nov,2018,300.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
281,FS,mg/l,Nov,2018,248.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
282,Turbidity,NTU,Nov,2018,119.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
283,TH as CaCO3,mg/l,Nov,2018,220.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
284,Ca as CaCO3,mg/l,Nov,2018,142.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
285,Mg as CaCO3,mg/l,Nov,2018,78.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
286,Sulphate,mg/l,Nov,2018,74.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
287,Chloride,mg/l,Nov,2018,41.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
288,Total alkalinity as CaCO3,mg/l,Nov,2018,266.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
289,P-Alkalinity,mg/l,Nov,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
290,Fluoride,mg/l,Nov,2018,0.12,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
291,Colour,Hazen,Nov,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
292,Boron(B),mg/l,Nov,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
293,TKN,mg/l,Nov,2018,26.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
294,Potassium,mg/l,Nov,2018,22.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
295,Sodium,mg/l,Nov,2018,17.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
296,Total Coliform,MPN/100ml,Nov,2018,1.8E+7,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
297,Faecal Coliform,MPN/100ml,Nov,2018,8E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
298,pH,-,Dec,2018,7.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
299,Conductivity,µs/cm,Dec,2018,696.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
300,DO,mg/l,Dec,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
301,COD,mg/l,Dec,2018,228.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
302,BOD,mg/l,Dec,2018,69.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
303,NO3-N,mg/l,Dec,2018,6.3,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
304,NH3-N,mg/l,Dec,2018,29.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
305,Phosphate,mg/l,Dec,2018,3.3,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
306,TSS,mg/l,Dec,2018,113.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
307,TDS,mg/l,Dec,2018,318.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
308,FS,mg/l,Dec,2018,324.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
309,Turbidity,NTU,Dec,2018,112.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
310,TH as CaCO3,mg/l,Dec,2018,220.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
311,Ca as CaCO3,mg/l,Dec,2018,140.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
312,Mg as CaCO3,mg/l,Dec,2018,80.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
313,Sulphate,mg/l,Dec,2018,66.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
314,Chloride,mg/l,Dec,2018,40.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
315,Total alkalinity as CaCO3,mg/l,Dec,2018,282.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
316,P-Alkalinity,mg/l,Dec,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
317,Fluoride,mg/l,Dec,2018,0.12,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
318,Colour,Hazen,Dec,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
319,Boron(B),mg/l,Dec,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
320,TKN,mg/l,Dec,2018,10.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
321,Potassium,mg/l,Dec,2018,2.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
322,Sodium,mg/l,Dec,2018,39.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
323,Total Coliform,MPN/100ml,Dec,2018,7.6E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
324,Faecal Coliform,MPN/100ml,Dec,2018,1.1E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
325,Temperature (Min),°C,,2021,16.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
326,Temperature (Max),°C,,2021,32.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
327,DO (Min),mg/l,,2021,0.3,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
328,DO (Max),mg/l,,2021,9.1,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
329,pH (Min),-,,2021,6.9,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
330,pH (Max),-,,2021,7.8,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
331,Conductivity (Min),µs/cm,,2021,460.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
332,Conductivity (Max),µs/cm,,2021,669.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
333,BOD (Min),mg/l,,2021,2.1,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
334,BOD (Max),mg/l,,2021,185.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
335,NO3-N (Min),mg/l,,2021,0.5,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
336,NO3-N (Max),mg/l,,2021,2.2,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
337,Faecal Coliform (Min),MPN/100ml,,2021,2700.0,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
338,Faecal Coliform (Max),MPN/100ml,,2021,6.9E+6,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
339,Total Coliform (Min),MPN/100ml,,2021,1.72E+4,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
340,Total Coliform (Max),MPN/100ml,,2021,7.6E+7,CPCB 2021 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
341,Temperature (Min),°C,,2023,15.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
342,Temperature (Max),°C,,2023,29.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
343,DO (Min),mg/l,,2023,0.3,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
344,DO (Max),mg/l,,2023,8.8,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
345,pH (Min),-,,2023,7.1,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
346,pH (Max),-,,2023,7.8,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
347,Conductivity (Min),µs/cm,,2023,150.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
348,Conductivity (Max),µs/cm,,2023,793.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
349,BOD (Min),mg/l,,2023,3.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
350,BOD (Max),mg/l,,2023,118.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
351,NO3-N (Min),mg/l,,2023,0.9,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
352,NO3-N (Max),mg/l,,2023,4.3,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
353,Faecal Coliform (Min),MPN/100ml,,2023,330.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
354,Faecal Coliform (Max),MPN/100ml,,2023,2.6E+5,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
355,Total Coliform (Min),MPN/100ml,,2023,1100.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
356,Total Coliform (Max),MPN/100ml,,2023,9.4E+5,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
357,FS (Min),MPN/100ml,,2023,0.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
358,FS (Max),MPN/100ml,,2023,0.0,CPCB 2023 Exit Point,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
359,pH,,,2024,7.9,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
360,COD,mg/l,,2024,76,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
361,BOD,mg/l,,2024,22,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
362,TSS,mg/l,,2024,22,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
363,TDS,mg/l,,2024,412,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
364,Conductivity,mg/l,,2024,780,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
365,Chloride,mg/l,,2024,34,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
366,Phosphate-P,mg/l,,2024,0.7,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
367,NO2-N,mg/l,,2024,0.08,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
368,NO3-N,mg/l,,2024,0.7,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
369,NH3-N,mg/l,,2024,6,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
370,SO4,mg/l,,2024,66,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
371,Colour,CU,,2024,0,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
372,TKN,mg/l,,2024,7,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
373,T-Coliform,MPN/100 ml,,2024,35x10^3,Green tribunal,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
