SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
50,TKN,mg/l,Feb,2018,4.7,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
51,Potassium,mg/l,Feb,2018,9.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
52,Sodium,mg/l,Feb,2018,27.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
53,Total Coliform,MPN/100ml,Feb,2018,3.2E+4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
54,Faecal Coliform,MPN/100ml,Feb,2018,2E+4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
55,pH,-,March,2018,7.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
56,Conductivity,µs/cm,March,2018,668.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
57,DO,mg/l,March,2018,1.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
58,COD,mg/l,March,2018,214.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
59,BOD,mg/l,March,2018,98.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
60,NO3-N,mg/l,March,2018,2.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
61,NH3-N,mg/l,March,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
62,Phosphate,mg/l,March,2018,2.05,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
63,TSS,mg/l,March,2018,82.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
64,TDS,mg/l,March,2018,350.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
65,FS,mg/l,March,2018,236.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
66,Turbidity,NTU,March,2018,118.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
67,TH as CaCO3,mg/l,March,2018,230.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
68,Ca as CaCO3,mg/l,March,2018,120.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
69,Mg as CaCO3,mg/l,March,2018,110.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
70,Sulphate,mg/l,March,2018,49.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
71,Chloride,mg/l,March,2018,50.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
72,Total alkalinity as CaCO3,mg/l,March,2018,252.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
73,P-Alkalinity,mg/l,March,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
74,Fluoride,mg/l,March,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
75,Colour,Hazen,March,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
76,Boron(B),mg/l,March,2018,0.15,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
77,TKN,mg/l,March,2018,4.2,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
78,Potassium,mg/l,March,2018,11.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
79,Sodium,mg/l,March,2018,37.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
80,Total Coliform,MPN/100ml,March,2018,1.4E+6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
81,Faecal Coliform,MPN/100ml,March,2018,9.3E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
82,pH,-,April,2018,7.3,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
83,Conductivity,µs/cm,April,2018,663.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
84,DO,mg/l,April,2018,0.7,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
85,COD,mg/l,April,2018,176.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
86,BOD,mg/l,April,2018,80.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
87,NO3-N,mg/l,April,2018,2.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
88,NH3-N,mg/l,April,2018,17.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
89,Phosphate,mg/l,April,2018,2.36,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
90,TSS,mg/l,April,2018,81.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
91,TDS,mg/l,April,2018,394.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
92,FS,mg/l,April,2018,273.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
93,Turbidity,NTU,April,2018,125.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
94,TH as CaCO3,mg/l,April,2018,212.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
95,Ca as CaCO3,mg/l,April,2018,120.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
96,Mg as CaCO3,mg/l,April,2018,92.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
97,Sulphate,mg/l,April,2018,52.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
98,Chloride,mg/l,April,2018,45.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
99,Total alkalinity as CaCO3,mg/l,April,2018,258.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
